,price,quantity,aux_quantity,midprice,macd,sma,diff,change,type_A,type_M,type_T,side_A,side_B
0,22520000000,226,0,22335000000.0,11739820.200954437,22520000000.0,0.21536522872731448,-0.008255827426333514,1,0,0,1,0
1,22530000000,1130,0,22330000000.0,22654612.947135925,22530000000.0,0.2325765247094612,-0.00835989069684991,1,0,0,1,0
2,22790000000,678,0,22330000000.0,65002358.51433182,22510333333.333332,0.5300842398394245,-0.008438916178379724,1,0,0,1,0
3,22120000000,452,0,22320000000.0,51107324.83180618,22496000000.0,-0.22523018471130699,-0.007995376448411596,1,0,0,0,1
4,22890000000,1356,0,22320000000.0,66466046.40893936,22524000000.0,0.6562451055968224,-0.008396545889944793,1,0,0,1,0
5,22120000000,226,0,22325000000.0,51509660.43758011,22505333333.333332,-0.23090149066137022,-0.008200483181532485,1,0,0,0,1
6,22540000000,226,0,22325000000.0,50514179.77673721,22505333333.333332,0.24979553011869327,-0.008432924063871515,1,0,0,1,0
7,22120000000,226,0,22320000000.0,36752787.325992584,22492000000.0,-0.22523018471130699,-0.00798284663188905,1,0,0,0,1
8,22520000000,226,0,22320000000.0,-33469905.04594803,22447666666.666668,0.23267905700719888,-0.00836609770130627,1,0,0,1,0
9,22500000000,226,0,22315000000.0,-30599320.36233139,22447000000.0,0.21555491350667874,-0.008243654999460878,1,0,0,1,0
10,22880000000,1356,0,22315000000.0,-2950822.1534233093,22455666666.666668,0.6506661642975957,-0.008505689123762419,1,0,0,1,0
11,22120000000,226,0,22420000000.0,-14159998.984535217,22442333333.333332,-0.338175684564266,-0.00784548447994898,1,0,0,0,1
12,22590000000,452,0,22420000000.0,38828209.95980072,22557666666.666668,0.1974678378848692,-0.008340682522387453,1,0,0,1,0
13,22120000000,226,0,22320000000.0,23248742.069194794,22545333333.333332,-0.22523018471130699,-0.008280482086492808,1,0,0,0,1
14,22140000000,452,678,22320000000.0,-17768687.232242584,22501666666.666668,-0.20233472262538071,-0.008188156745451385,0,1,0,0,1
15,22120000000,226,0,22330000000.0,-28138624.880256653,22469000000.0,-0.23657025684164043,-0.007982905575918391,1,0,0,0,1
16,22640000000,226,0,22330000000.0,-14209544.511425018,22500666666.666668,0.35844517341828924,-0.008323263399308037,1,0,0,1,0
17,22130000000,226,0,22535000000.0,-24416388.77486801,22486333333.333332,-0.4554852800089885,-0.007915653435037416,1,0,0,0,1
18,22530000000,452,0,22535000000.0,-5946776.35546875,22499666666.666668,-0.0019448196070752943,-0.008162959839628474,1,0,0,1,0
19,22130000000,226,0,22325000000.0,-16859198.76853943,22485333333.333332,-0.21945632349993904,-0.008212815197007478,1,0,0,0,1
20,22890000000,226,0,22325000000.0,-20018811.59729767,22361333333.333332,0.650376380768747,-0.00810764084056568,1,0,0,1,0
21,22130000000,226,0,22330000000.0,-27555383.805164337,22347000000.0,-0.2251276524135636,-0.007970370145678758,1,0,0,0,1
22,22560000000,226,0,22330000000.0,1700037.114730835,22375333333.333332,0.26690433799368596,-0.008426788019125851,1,0,0,1,0
23,22150000000,226,0,22340000000.0,-7162779.341693878,22375666666.666668,-0.21358772950557245,-0.008175744587736105,1,0,0,0,1
24,22560000000,226,0,22340000000.0,-18174582.975502014,22418333333.333332,0.2553490490099183,-0.008274203401320502,1,0,0,1,0
25,22160000000,226,0,22345000000.0,-24656984.66481018,22406000000.0,-0.20782164137544182,-0.008095231389056668,1,0,0,0,1
26,22140000000,1130,1356,22345000000.0,-3088873.660633087,22427000000.0,-0.23069148759418612,-0.00819424123274858,0,1,0,0,1
27,22560000000,226,0,22320000000.0,1696759.579963684,22427666666.666668,0.2784699811790515,-0.008414782418615284,1,0,0,1,0
28,22530000000,452,678,22320000000.0,-3915520.0181274414,22427333333.333332,0.24412678805016627,-0.008243626057373396,0,1,0,1,0
