,price,quantity,aux_quantity,midprice,type_A,type_M,type_T,side_A,side_B
14442,22600000000,3500,0,22590000000.0,1,0,0,1,0
14443,22560000000,3200,0,22570000000.0,1,0,0,0,1
14444,22540000000,7400,0,22570000000.0,1,0,0,0,1
14445,22560000000,300,0,22565000000.0,1,0,0,0,1
14446,22560000000,400,0,22565000000.0,1,0,0,0,1
14447,22570000000,300,0,22575000000.0,1,0,0,0,1
14448,22590000000,500,0,22575000000.0,1,0,0,1,0
14449,22580000000,400,0,22570000000.0,1,0,0,1,0
14450,22560000000,1000,0,22570000000.0,1,0,0,0,1
14451,22570000000,3200,3200,22580000000.0,0,1,0,0,1
14452,22590000000,1403,0,22580000000.0,1,0,0,1,0
14453,22560000000,300,300,22610000000.0,0,1,0,0,1
14454,22570000000,3200,0,22610000000.0,1,0,0,0,1
14455,22620000000,400,0,22595000000.0,1,0,0,1,0
14456,22570000000,400,0,22595000000.0,1,0,0,0,1
14457,22580000000,3200,0,22575000000.0,1,0,0,1,0
14458,22570000000,1000,0,22575000000.0,1,0,0,0,1
14459,22580000000,3200,0,22555000000.0,1,0,0,1,0
14460,22580000000,3200,0,22555000000.0,1,0,0,1,0
14461,22570000000,200,0,22575000000.0,1,0,0,0,1
14462,22580000000,3200,0,22575000000.0,1,0,0,1,0
14463,22580000000,3200,0,22555000000.0,1,0,0,1,0
14464,22530000000,221,0,22555000000.0,1,0,0,0,1
14465,22560000000,1100,0,22570000000.0,1,0,0,0,1
14466,22580000000,400,600,22570000000.0,0,1,0,1,0
14467,22570000000,3200,0,22600000000.0,1,0,0,0,1
14468,22570000000,200,0,22600000000.0,1,0,0,0,1
14469,22560000000,400,0,22635000000.0,1,0,0,0,1
14470,22590000000,100,0,22635000000.0,1,0,0,1,0
14471,22570000000,3200,0,22575000000.0,1,0,0,0,1
14472,22530000000,300,0,22575000000.0,1,0,0,0,1
14473,22570000000,300,0,22585000000.0,1,0,0,0,1
14474,22570000000,300,0,22585000000.0,1,0,0,0,1
14475,23710000000,100,100,23140000000.0,0,1,0,1,0
14476,22570000000,200,0,23140000000.0,1,0,0,0,1
14477,22570000000,300,0,22595000000.0,1,0,0,0,1
14478,22570000000,7200,0,22595000000.0,1,0,0,0,1
14479,22720000000,200,0,22585000000.0,1,0,0,1,0
14480,22540000000,400,0,22585000000.0,1,0,0,0,1
14481,23940000000,100,0,23260000000.0,1,0,0,1,0
14482,22720000000,200,0,23260000000.0,1,0,0,1,0
14483,22580000000,6000,0,22570000000.0,1,0,0,1,0
